"ID",Title,Authors,Status in the selection phase,Status in the full-reading phase,Year,Journal/Conference,Inclusion or Exclusion Criteria (Selection Phase),Inclusion or Exclusion Criteria (Full-reading Phase),Method,Quality criteria,Collaborative activity,Object under evaluation,Type of approach
89,A rapid indicator of cultural ecosystem service usage at a fine spatial scale: Content analysis of social media photographs ,Daniel R. Richards and Daniel A. Friess,REJECTED,UNCLASSIFIED,2015,Ecological Indicators ,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
90,A review of roads data development methodologies,"Ubukawa, T.a  and De Sherbinin, A.b  and Onsrud, H.c  and Nelson, A.d  and Payne, K.e  and Cottray, O.f  and Maron, M.g ",REJECTED,UNCLASSIFIED,2014,Data Science Journal,(E9) the primary study is not related to quality assessment or volunteered geographic information; ,,,,,,
91,A Review of Volunteered Geographic Information for Disaster Management,"Haworth, B. and Bruce, E.",REJECTED,UNCLASSIFIED,2015,Geography Compass,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
92,A robust and scalable framework for detecting self-reported illness from twitter,"Khan, M.; Iwai, M. & Sezaki, K.",REJECTED,UNCLASSIFIED,2012,"14th International Conference on e-Health Networking, Applications and Services ","(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
93,A self-developed and constructed robot for minimally invasive cochlear implantation,"Bell, B.a  b  and Stieger, C.a  c  and Gerber, N.a  b  and Arnold, A.a  c  and Nauer, C.d  and Hamacher, V.e  and Kompis, M.c  and Nolte, L.a  b  and Caversaccio, M.a  c  and Weber, S.a  b ",REJECTED,UNCLASSIFIED,2012,Acta Oto-Laryngologica,(E9) the primary study is not related to quality assessment or volunteered geographic information; ,,,,,,
94,A social recommender mechanism for location-based group commerce,"Li, Yung-Ming and Chou, Chia-Ling and Lin, Lien-Fa",REJECTED,UNCLASSIFIED,2014,Information Sciences,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
95,A spatiotemporal model of twitter information diffusion: An example of egyptian revolution 2011,"Kwon, K.H. and Wang, H. and Raymond, R. and Xu, W.W.",REJECTED,UNCLASSIFIED,2015,ACM International Conference Proceeding Series,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
96,A study of the correlation between the spatial attributes on Twitter,"Lee, B. and Hwang, B.-Y.",REJECTED,UNCLASSIFIED,2012,28th International Conference on Data Engineering Workshops,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
97,A study on the accuracy of Flickr's geotag data,"Hauff, C.",REJECTED,UNCLASSIFIED,2013,36th International ACM SIGIR Conference on Research and Development in Information Retrieval,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
98,A Unified Model for Stable and Temporal Topic Detection from Social Media Data,"Yin, Hongzhi and Cui, Bin and Lu, Hua and Huang, Yuxin and Yao, Junjie",REJECTED,UNCLASSIFIED,2013,29th International Conference on Data Engineering,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
99,A utility-maximization model for retrieving users willingness to travel for participating in activities from big-data ,Konstantinos Gkiotsalitis and Antony Stathopoulos,REJECTED,UNCLASSIFIED,2015,Transportation Research Part C: Emerging Technologies ,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
100,A vector autoregressive model for interpolating missing meteorological data for use in building simulation,"Kasain, A.A. and Lee, B.D. and Paredis, C.J.J.",REJECTED,UNCLASSIFIED,2013,13th Conference of the International Building Performance Simulation Association,(E9) the primary study is not related to quality assessment or volunteered geographic information; ,,,,,,
101,Accurate caloric expenditure of bicyclists using cellphones,"Zhan, A. and Chang, M. and Chen, Y. and Terzis, A.",REJECTED,UNCLASSIFIED,2012,10th ACM Conference on Embedded Networked Sensor Systems,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
102,Adapting the ISO 20462 softcopy ruler method for online image quality studies,"Burns, P.D.a  and Phillips, J.B.b  and Williams, D.c ",REJECTED,UNCLASSIFIED,2013,International Society for Optical Engineering,"(E1) the primary study is related to quality assessment, but it is not related to volunteered geographic information; ",,,,,,
103,Adaptive landmark recommendations for travel planning: Personalizing and clustering landmarks using geo-tagged social media,"Han, J. and Lee, H.",REJECTED,UNCLASSIFIED,2014,Pervasive and Mobile Computing,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
104,Adding  Completeness  Information to  Query  Answers over  Spatial  Databases,"Razniewski, Simon and Nutt, Werner",REJECTED,UNCLASSIFIED,2014,22nd  ACM  SIGSPATIAL  International  Conference on  Advances in  Geographic  Information  Systems,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
105,ALIMC: Activity Landmark-Based Indoor Mapping via Crowdsourcing,"Zhou, B.; Li, Q.; Mao, Q.; Tu, W.; Zhang, X. & Chen, L.",REJECTED,UNCLASSIFIED,2015,IEEE Transactions on Intelligent Transportation Systems,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
106,Ambiguity and  Plausibility:  Managing  Classification  Quality in  Volunteered  Geographic  Information,"Ali, Ahmed Loai and Schmid, Falko and Al-Salman, Rami and Kauppinen, Tomi",REJECTED,UNCLASSIFIED,2014,22nd  ACM  SIGSPATIAL  International  Conference on  Advances in  Geographic  Information  Systems,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
107,An agenda for the next generation gazetteer: Geographic information contribution and retrieval,"Kessler, C. and Janowicz, K. and Bishr, M.",REJECTED,UNCLASSIFIED,2009,GIS: Proceedings of the ACM International Symposium on Advances in Geographic Information Systems,(E9) the primary study is not related to quality assessment or volunteered geographic information; ,,,,,,
108,An evaluation of face-bow transfer for the planning of orthognathic surgery,"Zizelmann, C.a  b  and Hammer, B.b  and Gellrich, N.-C.a  and Schwestka-Polly, R.c  and Rana, M.a  and Bucher, P.b ",REJECTED,UNCLASSIFIED,2012,Journal of Oral and Maxillofacial Surgery,(E9) the primary study is not related to quality assessment or volunteered geographic information; ,,,,,,
109,Analysis of Quality of Data in OpenStreetMap,"Hayakawa, T.; Imi, Y. & Ito, T.",REJECTED,UNCLASSIFIED,2012,14th International Conference on Commerce and Enterprise Computing,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
110,Analysis of spatio-temporal mobility patterns of human ensembles,"Thompson, K.a  and Ho, I.F.a  and Gnanasambandam, N.b  and Yoon, S.W.a  and Lam, S.S.a ",REJECTED,UNCLASSIFIED,2012,62nd IIE Annual Conference and Expo ,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
111,Analyzing the language of food on social media,"Fried, D.; Surdeanu, M.; Kobourov, S.; Hingle, M. & Bell, D.",REJECTED,UNCLASSIFIED,2014,IEEE International Conference on Big Data,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
112,Answering  Geographic  Questions with  User  Generated  Content:  Experiences from the  Coal  Face,"Purves, Ross S.",REJECTED,UNCLASSIFIED,2011,27th  Annual  Symposium on  Computational  Geometry,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
113,Application of dynamic data driven application system in environmental science,"Song, J.a  b  and Xiang, B.a  b  and Wang, X.a  and Wu, L.c  and Chang, C.a  b ",REJECTED,UNCLASSIFIED,2014,Environmental Reviews,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
114,AQWA: Adaptive Query Workload Aware Partitioning of Big Spatial Data,"Aly, Ahmed M. and Mahmood, Ahmed R. and Hassan, Mohamed S. and Aref, Walid G. and Ouzzani, Mourad and Elmeleegy, Hazem and Qadah, Thamir",REJECTED,UNCLASSIFIED,2015,VLDB Endowment,(E9) the primary study is not related to quality assessment or volunteered geographic information; ,,,,,,
115,Assessing the impact of demographic characteristics on spatial error in volunteered geographic information features,"Mullen, W.F.a  and Jackson, S.P.a  and Croitoru, A.a  and Crooks, A.b  and Stefanidis, A.a  and Agouris, P.a ",REJECTED,UNCLASSIFIED,2014,GeoJournal,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
116,Assessing uncertainty in VGI for emergency response,"Camponovo, M.E.a  and Freundschuh, S.M.b ",REJECTED,UNCLASSIFIED,2014,Cartography and Geographic Information Science,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
117,Assessment of number and distribution of persistent scatterers prior toradar acquisition using open access land cover and topographical data,"Plank, Simon and Singer, John and Thuro, Kurosch",REJECTED,UNCLASSIFIED,2013,ISPRS Journal of Photogrammetry and Remote Sensing,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
118,ATKIS Base DLM and OpenStreetMap - a comparison based on selected Regions in lower Saxony [ATKIS-Basis-DLM und OpenStreetMap - ein datenvergleich anhand ausgewählter Gebiete in Niedersachsen],"Schoof, M.",REJECTED,UNCLASSIFIED,2012,Kartographische Nachrichten,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
119,Automatic discovery of global and local equivalence relationships in labeled geo-spatial data,"Thomee, B. and De Francisci Morales, G.",REJECTED,UNCLASSIFIED,2014,25th ACM Conference on Hypertext and Social Media,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
